City,City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,396,Kapiri Mposhi,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
397,397,Dingzhou,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
398,398,Mama,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
399,399,Burhar,BR,77.0,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
400,400,Nanfeng,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
401,401,Kawalu,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
402,402,Samarai,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
403,403,Ravar,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
404,404,Vernon,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
405,405,Batsfjord,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
406,406,Oga,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
407,407,Vao,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
408,408,Mattawa,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
409,409,Flin Flon,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
410,410,Olinda,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
411,411,Lisakovsk,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
412,412,Lagoa,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
413,413,Jiuquan,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
414,414,Yar-Sale,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
415,415,Novosergiyevka,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
416,416,Sibu,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
417,417,Bozoum,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
418,418,Opotiki,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
419,419,Bolshiye Uki,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
420,420,Port Hardy,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
421,421,Port-Gentil,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
422,422,Hofn,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
423,423,Yilan,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
424,424,Marshall,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
425,425,Sept-Iles,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
426,426,Ballina,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
427,427,Half Moon Bay,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
428,428,Prachuap Khiri Khan,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
429,429,La Palma,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
430,430,Takoradi,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
431,431,Krasnaya Gorka,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
432,432,Kruisfontein,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
433,433,Ambon,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
434,434,Miranda,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
435,435,Harlingen,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
436,436,Kaitong,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
437,437,Vaitape,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
438,438,Algiers,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
439,439,Dicabisagan,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
440,440,Ayacucho,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
441,441,Rantepao,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
442,442,Campbell River,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
443,443,Middelburg,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
444,444,Haftoni,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
445,445,Ruatoria,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
446,446,Kununurra,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
447,447,Cayenne,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
448,448,Leh,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
449,449,Ambilobe,CN,71.74,light rain,23.7434,111.7959,Nanfeng Hotel
450,450,Marica,BR,80.01,scattered clouds,-22.9194,-42.8186,Marica Hills
