City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,Fort Nelson,58.8053,-122.7002,6.8,85,75,1.99,CA,2021-04-08 15:26:10
273,Ulaanbaatar,47.9077,106.8832,33.8,37,0,2.44,MN,2021-04-08 15:24:32
274,Saldanha,-33.0117,17.9442,73.4,56,54,17.27,ZA,2021-04-08 15:26:11
275,Kathmandu,27.7167,85.3167,66.2,55,75,3.44,NP,2021-04-08 15:22:21
276,Port-Gentil,-0.7193,8.7815,87.8,74,20,14.97,GA,2021-04-08 15:25:25
277,Keflavik,64.0049,-22.5624,24.8,63,75,26.46,IS,2021-04-08 15:26:11
278,Tarko-Sale,64.9225,77.785,16.56,97,31,2.55,RU,2021-04-08 15:26:12
279,Kamaishi,39.2667,141.8833,39.27,48,83,3.69,JP,2021-04-08 15:26:12
280,Beringovskiy,63.05,179.3167,-15.21,97,19,2.77,RU,2021-04-08 15:23:47
281,Cristalina,-16.7686,-47.6136,67.98,72,100,10.6,BR,2021-04-08 15:26:13
282,Naica,27.85,-105.4833,72.0,11,89,4.43,MX,2021-04-08 15:26:13
283,Ornskoldsvik,63.2909,18.7153,39.2,35,57,11.5,SE,2021-04-08 15:26:13
284,Parfenyevo,58.484,43.4088,35.58,88,80,17.98,RU,2021-04-08 15:26:14
285,Westport,41.1415,-73.3579,64.0,62,1,9.22,US,2021-04-08 15:25:34
286,Nacala,-14.5428,40.6728,82.4,69,40,10.36,MZ,2021-04-08 15:26:14
287,Payakumbuh,-0.2202,100.6308,70.07,96,89,2.86,ID,2021-04-08 15:26:15
288,Kolaras,25.2333,77.6,87.44,13,0,7.85,IN,2021-04-08 15:26:15
289,Miasskoye,55.2784,61.8905,37.4,100,75,6.71,RU,2021-04-08 15:26:16
290,Moron,-34.6534,-58.6198,78.01,69,100,4.0,AR,2021-04-08 15:23:05
291,Along,28.1667,94.7667,71.55,54,99,1.3,IN,2021-04-08 15:26:16
292,Mingaora,34.7758,72.3625,54.18,67,61,8.03,PK,2021-04-08 15:26:17
